thread_id,customer_query,brand_resolution,intent,brand,turn_count
TH-754,"Yes it did, 11.0.3","We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: [link]",general_inquiry,AppleSupport,2
TH-756,MY HOME BUTTON DOESN’T WORK #IOS11,Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,technical_issue,AppleSupport,2
TH-758,Hey ! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,We're here to help. Meet us in DM and we can check on available options. [link],technical_issue,AppleSupport,2
TH-760,I can not find an option to get it there. It was just always there when playing.,DM us the specific iOS version you are running currently and we'll continue there. [link],general_inquiry,AppleSupport,2
TH-763,The app is still there. But no longer able to control it from the lockscreen.,"Just to confirm, this is only happening with Spotify, correct?",hardware_repair,AppleSupport,2
TH-765,After update #ios1103 no spotify on my lock screen?,Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,hardware_repair,AppleSupport,2
TH-767,I just need to do something about the battery life because it sucks ass,We want to help you get your battery life back on track. Please DM and we'll look at it together. [link],hardware_repair,AppleSupport,2
TH-1755,Why does my I️ not work ?! please fix this!!!,We'd like to look into this with you. Please DM us your current iOS version and your iPhone model. [link],general_inquiry,AppleSupport,2
TH-1757,I️ just updated it and it’s still coming up [link],Let's dig into this further with you. DM us and we'll continue there.,technical_issue,AppleSupport,2
TH-1759,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ #anybody [link],"We definitely understand your concern. Please backup your iPhone, update and let us know the result: [link]",general_inquiry,AppleSupport,2
TH-1761,iOS 11 is killing my battery . Fix it.,We're here to help. Which exact iOS version is your device running? This info can be found under Settings &gt; General &gt; About.,hardware_repair,AppleSupport,2
TH-1763,"Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",Try contacting our iTunes Store team here for more help: [link],general_inquiry,AppleSupport,2
TH-1764,"Hello, I need some help regarding the region change on my Apple ID",This article should help with that: [link],account_access,AppleSupport,2
TH-1768,"it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone",Thanks for clarifying. Let's meet in DM so we can do more in-depth on this. [link],account_access,AppleSupport,2
TH-1770,why is my home sharing not working and how do i fix it,We're happy to help. Has Home Sharing worked with these devices before?,general_inquiry,AppleSupport,2
TH-1772,"iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x","To make sure, is iOS 11.1 showing here: Settings &gt; General &gt; About &gt; Version? Please DM us the answer here: [link]",technical_issue,AppleSupport,2
TH-1775,Battery life just got worst.,"We'll make sure to get this straightened out. DM us, and we'll see you there. [link]",hardware_repair,AppleSupport,2
TH-1773,"I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply.",Which model do you have and is iOS 11.1 installed on it? Any steps tried so far?,hardware_repair,AppleSupport,2
TH-1779,my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,We want you to be able to make calls on the iPhone. What exactly is going on with the Phone app?,technical_issue,AppleSupport,2
TH-1781,why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,Let us look into that. What device and OS version are you using?,general_inquiry,AppleSupport,2
TH-1783,if my words even mean a thing to you; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch’s such as apps randomly opening and more ... #iHelp,We want to help. Send us a DM letting us know if you are updated to iOS 11.1 [link],technical_issue,AppleSupport,2
TH-1785,epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,We offer support via Twitter in English. Contact us for help in your preferred language here: [link],general_inquiry,AppleSupport,2
TH-1789,No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that,Please keep us posted afterwards.,technical_issue,AppleSupport,2
TH-1791,why won’t my apps fuccin download or update,Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?,technical_issue,AppleSupport,2
TH-2610,$100 billion says that solves my problem? I’m on 11.0.3 currently. Hold please.,Let us know and we'll continue from there. [link],billing_refund,AppleSupport,2
TH-2613,"Cupertino, we have a problem. . . . . [link]",We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,general_inquiry,AppleSupport,2
TH-2615,"Yes, after the update. I Phone 7",Got it. Does this happen while using any particular App or feature? Let us know via a DM. We’ll keep moving forward from there. [link],technical_issue,AppleSupport,2
TH-2616,"why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life","Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?",hardware_repair,AppleSupport,2
TH-2619,But this does not show the music stored on my phone like it did in os3. I do not want to store music on my phone.,We certainly want to take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. [link],general_inquiry,AppleSupport,2
TH-2620,watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,You should still be able to control Music on your iPhone from the watch. Check out the user guide here: [link],general_inquiry,AppleSupport,2
TH-2624,"It’s been a few days since made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",Hi there! iOS 11.1 was released earlier today containing some bug fixes. Let's back up and update: [link],technical_issue,AppleSupport,2
TH-2627,iOS 11.1 it’s been getting worse for a few months now,Please meet with us in DM. We'd like to gather some additional details from you. [link],technical_issue,AppleSupport,2
TH-2628,Question- my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,"We know how important your battery is &amp; we'll be happy to help. Which iOS version are you using? Also, when did this issue begin?",hardware_repair,AppleSupport,2
TH-2631,"iPhone 7+, iOS 11.1","Thank you very much! Send us a DM to let us know if your speaker doesn't work on calls, or if other apps are affected as well. [link]",technical_issue,AppleSupport,2
TH-2632,And why is my music NEVER in my control center?!,We're here to help out! Which device is this on and which version of iOS is currently installed?,general_inquiry,AppleSupport,2
TH-2635,"Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",Check out this link: [link] Send us a DM if it doesn't help. [link],technical_issue,AppleSupport,2
TH-2637,"Hi, I plugged an adapter straight into the transformer and it still didn't charger. The charger LED does not light up either.",We certainly want to take a closer look into this. Select the following link to join us in a DM and we'll go from there. [link],general_inquiry,AppleSupport,2
TH-2638,...cost for sending in for diagnosing a problem if it's out of warranty?,We can help. Let’s start with the following steps to see if we can save you a trip in for service: [link],hardware_repair,AppleSupport,2
TH-2642,still no reliable Bluetooth on my iPhone 8+.,Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help. [link],technical_issue,AppleSupport,2
TH-2644,"When you roll the month, it does not appear and hangs",We'd like to take a closer look at this. DM us and we'll go from there. [link],technical_issue,AppleSupport,2
TH-2645,when will the bug in the calendar app be fixed? I upgraded to iOS 11.1 and it still crashes when iOS 11.03,We'd like to help. What is going on with the app?,technical_issue,AppleSupport,2
TH-2648,do you have any apps for epilepsy so I can detect my seizures thanks in advance,"Hey, we can provide some guidance. Let's meet in DM and we'll go from there. [link]",technical_issue,AppleSupport,2
TH-2650,"really needs to fix this update. My phone has never been slower, for real.",We're here to help with any issues you may having with performance. Let us know the exact iOS version to get started.,technical_issue,AppleSupport,2
TH-2654,newest version of iOS and iPhone 7,"Since we just released iOS 11.1 today, can you clarify which exact version you have installed?",technical_issue,AppleSupport,2
TH-2656,My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth???,"We'll be happy to look into this with you. To clarify, which iPhone model do you have and what's the exact iOS version?",general_inquiry,AppleSupport,2
TH-2659,Is anyone else having problems with there iPhone 7 saying no service?,We want to help with this. Let's start troubleshooting by trying the steps here: [link],general_inquiry,AppleSupport,2
TH-2662,So why is this happening I️ I️ I️,We'd be glad to see what we can do for you. Let's meet up in DM first. Thanks! [link],technical_issue,AppleSupport,2
TH-2666,I keep getting this error message saying “the item can’t be played” and idk how to fix it...,We'd like to look into this with you. Does the song appear to be greyed out?,general_inquiry,AppleSupport,2
TH-2671,^^check this out,Send us a DM please and we will go from there. [link],general_inquiry,AppleSupport,2
TH-2676,HELP ME. I have a problem with my iPhone 7😑,We're happy to help. What seems to be the problem?,general_inquiry,AppleSupport,2
TH-2678,"Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up. [link]","We're here for you. DM us, and we'll look into this together. [link]",general_inquiry,AppleSupport,2
TH-2680,It’s sorted. Thanks. iOS update needed a change and hard reboot,We're glad to hear that's sorted out for you. Have a great day.,technical_issue,AppleSupport,2
TH-2682,ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,"We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings &gt; Sounds?",technical_issue,AppleSupport,2
TH-2684,live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update.,"Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there. [link]",technical_issue,AppleSupport,2
TH-3761,Listen I’m having issues with my phone so like can you @ me so we can talk,We're here to help. Send us a DM with the issue and we'll follow up from there. [link],general_inquiry,AppleSupport,2
TH-3763,"11.1?? when did that come out lol, i talked to you guys last night and you asked if i was updated to 11.0.3 which i am lol",It was released earlier today. Let's use these steps to update iOS: [link],technical_issue,AppleSupport,2
TH-3764,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus,Let's look at this together. Are you updated to iOS 11.1?,hardware_repair,AppleSupport,2
TH-3767,I’m no expert in battery life but 40% doesn’t go to 7% in 5minutes,"We understand your concerns, and want to help. Which device is this happening on?",hardware_repair,AppleSupport,2
TH-3769,That fixed it thanks,That's great! Enjoy the rest of your day.,general_inquiry,AppleSupport,2
TH-3770,this is my top bar every time I open messages on my SE after updating to iOS 11.1 [link],Thank you for reaching out to us. Have you tried to restart the device? Let us know to get started.,technical_issue,AppleSupport,2
TH-3773,iOS 11.1 - keyboard lag. 🤨 [link],We'd like to take a look into that with you. Would you please join us in DM to get started? [link],technical_issue,AppleSupport,2
TH-3776,"still happening, including on iOS 11.2 beta now. any ideas?",Thanks for the update. Go ahead and send us a DM and we'll take it from there. [link],technical_issue,AppleSupport,2
TH-3777,"I've also forced the app to close from the background and reopened, no dice 🎲",Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,technical_issue,AppleSupport,2
TH-4870,iPhone 6 and yes it’s got the latest software update,"Thanks for letting us know. We'd like to take a further look into this. Please send us a DM, and we'll continue there. [link]",technical_issue,AppleSupport,2
TH-4871,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤,We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,general_inquiry,AppleSupport,2
TH-4875,Come on #ios11.1 Same bug as before. Numbers disappear when entering info. Video below. #iosproblems [link],Let's investigate this together. Does this only occur when using specific apps or website?,technical_issue,AppleSupport,2
TH-4877,Restarting does resolve the issue. Thanks.,We're glad to hear that resolved the issue. Don't hesitate to reach out to us if you have any questions. Take care.,general_inquiry,AppleSupport,2
TH-4879,I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. [link],We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. [link],technical_issue,AppleSupport,2
TH-4882,tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings &gt; General &gt; About.,technical_issue,AppleSupport,2
TH-4889,And the new ones tauntingly pretend they are saved- it’s just when I click on them or try to send them that the grey screen shows,"We appreciate those details. For more help with Photos, please reach out to our Photos experts here: [link]",hardware_repair,AppleSupport,2
TH-4890,"whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help? [link]",We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?,general_inquiry,AppleSupport,2
TH-4893,This “I️” shit annoying yo fix this shit,We're here to help. Send us a DM with the iOS version number you're on. We'll follow up there. [link],general_inquiry,AppleSupport,2
TH-4897,AFTER I️ updated my phone.,Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM. [link],technical_issue,AppleSupport,2
TH-4896,please make this stop!!! [link],"Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",general_inquiry,AppleSupport,2
TH-4900,I have and my battery life has become even worse,Let's look into this further in DM. [link],hardware_repair,AppleSupport,2
TH-4901,Please fix the battery issues in Ios 11!,We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?,hardware_repair,AppleSupport,2
TH-4905,I've updated to iOS 11.1 just now. I shall check out these WiFi hotspots tomorrow and later in the week.,Sounds good. Let us know the results in DM and we'll continue working with you there. Thanks again. [link],technical_issue,AppleSupport,2
TH-4906,The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown. [link],We'd like to have you backup and update your iPhone to iOS 11.1 and let us know if that helps: [link],technical_issue,AppleSupport,2
TH-4909,コレは本当に困る、ゲームも出来なくなったしアップデートしなきゃ良かった´д` ; → 「バッテリーの減りが激しい」という問題に関しても同様）。 [link],We offer support via Twitter in English. Contact us for help in your preferred language here: [link],general_inquiry,AppleSupport,2
TH-4912,Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf ?,"We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed?",technical_issue,AppleSupport,2
TH-4915,Don’t complain a lot about but when battery iphone goes down 50% after using your phone for 30 minutes ..... Problems since update 11,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. [link],hardware_repair,AppleSupport,2
TH-4917,. why my iPhone keep dying at 30% quit playing games I'm not getting no new damn phone or iPhone x,We'd like to help. What iOS version are you on?,general_inquiry,AppleSupport,2
TH-5808,Y’all need to fix this now,Thank you for reaching out. We've received your DM and will continue working with you there.,general_inquiry,AppleSupport,2
TH-5812,just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,Got it. Have you updated your Apple Watch to 4.1 yet?,technical_issue,AppleSupport,2
TH-5816,I️ &lt;— wtf is going on,We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. [link],general_inquiry,AppleSupport,2
TH-5819,I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,We'd be happy to help. Check out this link to for more information: [link],hardware_repair,AppleSupport,2
TH-5821,"Dear this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !",Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started.,hardware_repair,AppleSupport,2
TH-5823,creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,Let’s work together on this. How long has this been happening? Do you experience similar behavior with Siri?,general_inquiry,AppleSupport,2
TH-5825,"excuse me, can someone explain to me why when I type an “I️” alone I️ get an A and a question mark???????",We'll be happy to take a look into it with you. Please send us a DM with what version of iOS you have. [link],general_inquiry,AppleSupport,2
TH-5829,Heyyy still waiting on a version of iOS 11 that isn’t complete shit — Everyone with any iPhone that isn’t the brand new one,"Thanks for reaching out. If you're having issues, we'd like to assist. DM us and we'll continue there. [link]",technical_issue,AppleSupport,2
TH-5831,why does my iphone 6 is redémarrer alone !!!!!,Thanks for getting back to us. We apologize but aren't understanding the issue at hand. Please DM us. [link],general_inquiry,AppleSupport,2
TH-5833,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication ?????",We offer support via Twitter in English. Contact us for help in your preferred language here: [link],technical_issue,AppleSupport,2
TH-5835,You dropped an update and I️ still see boxed question marks. Fix this shit .,We're here to help. Which version of iOS is installed on your device? You'll see this in Settings &gt; General &gt; About.,technical_issue,AppleSupport,2
TH-5837,Yes. Sorry. I️ just watched a video about 11.2 beta. 11.1 When I️ type the letter Eye I️ happens [link],"Have you tried resetting the keyboard dictionary yet? If not, go to Settings &gt; General &gt; Reset &gt; Reset Keyboard Library",technical_issue,AppleSupport,2
TH-5841,Tried I️t and I️t still doesn’t work,Here’s what you can do to work around the issue until it’s fixed in a future software update: [link],general_inquiry,AppleSupport,2
TH-5839,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️,We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?,technical_issue,AppleSupport,2
TH-5844,"No, virginmedia. Tried twice with completely new mail. One didn’t save, 2nd did though. Very odd.","Some accounts may create separate folders for your Drafts. If you're still having trouble, please DM us here: [link]",general_inquiry,AppleSupport,2
TH-5845,Updated iPad Pro to 11.1. Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,We'll help in any way we can. Was this on an [link] email account?,technical_issue,AppleSupport,2
TH-5849,I updated to iOS 11 and my iPhone 6 stopped connecting to wi-fi. Already restored the phone and the network connections,"We are here to help. So we can best isolate the cause, could you verify your exact iOS version? [link]",technical_issue,AppleSupport,2
TH-5853,why is my “it “ autocorrecting to I.T?? So annoying! Can’t change in settings either...,We'd love to help. Let's work together in DM. [link],general_inquiry,AppleSupport,2
TH-6483,Hello what’s happening to my screen [link],We'd love to take a look into this concern. Is the screen stuck this way have you restarted it? Send us a DM. [link],hardware_repair,AppleSupport,2
TH-6554,how long does it take usually for account recovery to get back to you? It’s been about a week now.,Having access to your Apple ID is important. Did you receive an email with a confirmation of your request? DM us here: [link],account_access,AppleSupport,2
TH-6608,the fact that my laptop that I haven't even had for two years keeps shutting off without warning at 15% is kind of ridiculous.,Let's see what we can find for you today. Let's meet up in DM to gather some specifics and we'll proceed from there. [link],general_inquiry,AppleSupport,2
TH-6657,My wife made the mistake of updating to 11. How can we revert back? Her password keeper app is now dead. She can't access her passwords.,You won't be able to revert the system to pre-iOS 11 but we can look into the issues. DM us and we'll get started. [link],account_access,AppleSupport,2
TH-6917,"Yes, sorry i mean iOS 11, when I texting my keyboard it’s very slow and my battery it consumes very fast.","Are you currently using Low Power Mode? If so, disable that from Settings &gt; Battery and restart. Let us know in DM if it helps. [link]",hardware_repair,AppleSupport,2
TH-6919,"I installed the iOS 10.0 , 10.0.1 and 10.0.2 and makes my iPhone 6 very slow and doesn’t work properly can you help me?","We can help! We assume you mean iOS 11, right? Can you tell us what types of performance issues you're experiencing?",technical_issue,AppleSupport,2
TH-6928,my iPhone is a fully up to date so why does my phone keep freezing 🙃???,"We want to help in any way we can. Which iPhone are you using? Let us know in DM, and we’ll work with you there. [link]",general_inquiry,AppleSupport,2
TH-6934,after the new apple updates: the battery life is really go fast and the WiFi is always on! #newappleupdates,We'd love to help. Let's work on this together in DM. Start by letting us know what kind of device you are using. [link],hardware_repair,AppleSupport,2
TH-8297,Hello there i need help with the use of an administartors name and password on my imac,Hi! We're happy to help. Join us in DM with the macOS version installed on your iMac and more details about what's going on. [link],account_access,AppleSupport,2
TH-8299,DL the latest iOS today. Very laggy 6s. Phone is running like hammered dog shit since the DL.,Are you seeing issues across all apps or are you noticing lag when performing specific tasks? Let us know in DM. [link],technical_issue,AppleSupport,2
TH-8302,Every time I watch a live broadcast or video it skips or repeats a few seconds since updating [link],"We'd like to learn more about what's happening. What model &amp; iOS version are you working with? Tell us in DM, please. [link]",general_inquiry,AppleSupport,2
TH-8304,can your team let me know why my new iPhone 6 always has hanging problem I do not know what the problem is by I know I feel I am cheated by apple for phone 📱 do I ?,We'd be concerned with an unresponsive device too. Let us know your iOS version in DM and we'll help: [link],technical_issue,AppleSupport,2
TH-8308,I don’t know. I need the space though. How do I get rid of some snapshots,Finder and Get Info windows don't include snapshots in their calculations so that's not the root cause. Let's meet within DM: [link],general_inquiry,AppleSupport,2
TH-8310,Its slowing down my mac a lot,"Is 25 GBs what you have left after the snapshots were created on the drive though? Or, were you low on space prior to snapshots?",general_inquiry,AppleSupport,2
TH-8313,i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,Thanks for reaching out to us. We're happy to help out. We recommend checking out this link: [link],general_inquiry,AppleSupport,2
TH-8320,iOS 11.1 should never been released. So many bugs. The statusbar randomly disappears in Facebook app,We'd like to look into the trouble you're having. Does this only occur in the Facebook app?,technical_issue,AppleSupport,2
TH-8331,Oh my god i’m so embarrassing why do I always send voice recordings in iMessage by accident do you know how embarrassing that is?!,"Are you accidentally recording audio message or is this happening on its own? Let us know in a DM, we’ll communicate there: [link]",general_inquiry,AppleSupport,2
TH-8340,only 8 attempts to open the twitter app and complain about the iOS 11 messing up my iPhone 7 - this is slowing down my life :(,We'd like to look into this with you. Please DM us details and we'll be glad to work with you towards a resolution. [link],technical_issue,AppleSupport,2
TH-8420,Chat doesn’t seem to work in Germany. On the order page I cannot leave comments …,"If you are unable to access these resources, let's get you connected with our local AppleCare Support team to get you to our Online Support group: [link]",order_shipping,AppleSupport,2
TH-8422,"Dear , I have an online order which I never received - who can I talk to?",We want to help out. Look here to talk with our Online Support: [link],order_shipping,AppleSupport,2
TH-8435,I need an actual human to help me,"Understood. For further help with your Apple ID, connect with one of our Apple ID Advisors here: [link]",general_inquiry,AppleSupport,2
TH-8437,suck! Upgrade phone &amp; I lose my Apple ID. Can’t get new id without old &amp; can’t book Genius bar help appointment without ID!!! #stupid,"We're happy you reached out so we can find you the info you need. If you forgot your Apple ID, go to the Apple ID account page: [link] From here, click ""Forgot Apple ID or password?"" then click ""look it up."" From here, follow the on screen prompts.",account_access,AppleSupport,2
TH-8542,needs to figure it’s shit out. My phone won’t stop freezing &amp; closing apps 🙄😡,"Let us help. Does this happen while using any specific app? Also, which version of iOS are you currently running?",technical_issue,AppleSupport,2
TH-8544,"no, my photos aren’t gone. why are there four (five actually, one isn’t pictured) albums in my photos all labeled twitter?",Got it. Please continue with us by reaching out to our Photos app experts: [link],general_inquiry,AppleSupport,2
TH-8545,what the fuck ? [link],"We're here for you. Let's work together to locate your photos. Did you just recently restore your device, by any chance?",general_inquiry,AppleSupport,2
TH-8548,lil help? [link],We'd love to help. DM us which iOS device you are experiencing this issue on to get started. [link],general_inquiry,AppleSupport,2
TH-8550,so it cant be disable? umm ya.. problem comes oftenly when my iphone just woke up. kindly please gimme some advices to heal that issue,"This link is a great place to start: [link] If you still have issues after those steps, DM us. [link]",general_inquiry,AppleSupport,2
TH-8553,ya.. i did that way like 3-4times for make my screen finally worked out. whats the causes anw? what tips to prevent it wont happen again?,"We wouldn't want to speculate into the cause, but please send us a DM so we can look into this further with you. [link]",hardware_repair,AppleSupport,2
TH-8551,ya.lately my screen was disfunction for touch after its been restart. i couldnt enter passcode yet homebutton still figureout my fingerprint,"For security, the passcode is always required even if you have Touch ID turned on. Are you still having touch screen issues?",hardware_repair,AppleSupport,2
TH-8557,"is that safe if we disable passcode for unlock iphone? i mean,is the fingerprint still worked out? i think dat would be enough",We want to make sure we understand the issue. Are you wanting to disable the passcode and still use Touch ID?,general_inquiry,AppleSupport,2
TH-8559,Yes I️ just did that today.,"OK, please DM us, so we can work together on this. [link]",general_inquiry,AppleSupport,2
TH-8561,hey what’s going on with the letter I . When i start to. Type this happens below [link],"Let's look at this together. To begin, are you completely updated to iOS 11.1?",technical_issue,AppleSupport,2
TH-8568,wtf y’all got going on with my emojis 😐 I’m seeing boxes and shit,Hey there. 70 new Emoji have been released with iOS 11.1. Update to that and let us know how it goes.,general_inquiry,AppleSupport,2
TH-8570,"FYI, Folders no longer show Folder Names after update unless folder highlighted. [link]",Thanks for reaching out. For help with AppleTV reach out to our experts here: [link],technical_issue,AppleSupport,2
TH-8574,this is the second Fishing email that I have gotten in 2 days [link],We are here to help. Please refer to the following article for steps to report these emails: [link],general_inquiry,AppleSupport,2
TH-8577,since upgrade to High Sierra I see this screen each time my iMac reboots thus defeating automatic login I need. Help. [link],"Thanks for reaching out to let us know about this. So we can look into this with you, please DM us here: [link]",account_access,AppleSupport,2
TH-8579,"I bought 2 iPhones X on Friday, but I don’t see any charge on my credit card. Do I should worry or it’s normal?","Thanks for reaching out to us. Please send us a DM with your country, and we'll look into this. [link]",general_inquiry,AppleSupport,2
TH-9151,"Well, I️ was running 11.0.3, and now 11.1. Issue persists.",Thanks. Please DM us and we'll continue this conversation there. [link],general_inquiry,AppleSupport,2
TH-9154,I’m having the same issue!!! Just started today!,Lets help get this sorted. Please DM us the version of iOS you're using and we can go from there. [link],general_inquiry,AppleSupport,2
TH-9152,"Hey , what’s up with this new autocorrect? Happening on iPhone 7 Plus and iPhone 7. [link]",Let's take a look at this issue together. Which iOS version is your device currently running?,technical_issue,AppleSupport,2
TH-9158,It’s showing it’s connected and the battery is decreasing.,We are here for you. Let's take a look at this further for you. Reach out to us in DM. [link],hardware_repair,AppleSupport,2
TH-9160,I got my phone yesterday and it’s already not charging thanks 🙃,We want to make sure you can charge and enjoy your new phone. Is it not showing as connected to power when plugged in?,general_inquiry,AppleSupport,2
